Dataset Name,Observation Date,Series Display Name,Observation Value,Unit
Export Receipts by Commodities and Groups,30-Sep-25,......36 Chemical & Pharmaceutical Prod,102987.1687,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,............A) Fertilizer Manufacture,0,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,............B) Plastic Materials,25478.6435,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,............C) Pharmaceutical Product,19259.7869,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,............D) Other Chemicals,58248.7383,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,......37 Engineering Goods,29189.2989,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,............A) Electric Fans,1827.3537,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,............B) Transport Equipment,7690.9953,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,............C) Other Electrical Machi.,7161.8948,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,............D) Machi.nery Specialized,3794.0303,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,............E) Auto Parts,1834.572,Thousand USD
